code,similarity,nl
find Path -uid Regex,find path -uid regex,display all file in file system which belong to user with id _NUMBER
find Path -name Regex -print,find path -name regex -print,find all text file in home folder
grep -a -R -e Regex Regex | md5sum | cut -c -Number,grep -a -r -e regex regex | md5sum | cut -c -number,calcul _REGEX sum of all file in _FILE includ content and filenam and follow symbol link
ln -s $( pwd ) Regex,ln -s $( pwd ) regex,creat a symbol link name _FILE to current work directori
top -l 1 -s 0 -i 1 -stats vprvt -pid PID,top -l 1 -s 0 -i 1 -stats vprvt -pid pid,get virtual privat memori use of process
1 down vote wc -cl `find . -name *.php -type f`,1 down vote wc -cl `find . -name *.php -type f`,display number of line in all _FILE file in current folder
chown -R Regex File,chown -r regex file,recurs chang owner of all file in _FILE to _REGEX
find Path -not -path Regex -not -name Regex | grep Regex,find path -not -path regex -not -name regex | grep regex,search for string _REGEX in all file under current directori tree exclud path and name that contain string _REGEX
find Path -name Regex | xargs -i -I {} rm -r -f {} {},find path -name regex | xargs -i -i {} rm -r -f {} {},remov all file with name like _FILE from current directori tree
find Path -type f -name Regex,find path -type f -name regex,find all makefil 's in current directori tree
find Path -maxdepth Quantity -type d -iname Regex -print0 | xargs -I {} -0 rm -r -v -f {},find path -maxdepth quantity -type d -iname regex -print0 | xargs -i {} -0 rm -r -v -f {},descend at most one level of directori below command line argument pass _REGEX _NUMBER option will avoid delet nest directori
find Path -exec chmod Permission {} \;,find path -exec chmod permission {} \;,set permiss for file in _REGEX to _NUMBER
find Path -name Regex -type f -exec file {} \;,find path -name regex -type f -exec file {} \;,find regular file match pattern _REGEX and execut _REGEX util for each of them
find Path -type f -exec  \; | sort -n,find path -type f -exec  \; | sort -n,execut _REGEX on all file found under _REGEX numer sort result and save to variabl _REGEX
grep -r -l searchtext . | sort | uniq | xargs perl -e s/matchtext/replacetext/ -pi,grep -r -l searchtext . | sort | uniq | xargs perl -e s/matchtext/replacetext/ -pi,recurs search current directori for uniqu entri of _REGEX and replac _REGEX with _REGEX
rsync -a -H -v -z File File,rsync -a -h -v -z file file,archiv _FILE to _FILE preserv hard link and compress data dure transmiss
find Path -name Regex -type f -exec grep -i Regex {} \;,find path -name regex -type f -exec grep -i regex {} \;,search for case insensit regex expand by _REGEX in all file name _REGEX under current directori
ls -l -d File File,ls -l -d file file,print long list of directori _FILE _FILE
cat File | cut -c Number,cat file | cut -c number,print onli first _NUMBER charact of each string of file _REGEX
find Path -name Regex -exec grep -l -- Regex {} + | xargs -I {} grep -l Regex {},find path -name regex -exec grep -l -- regex {} + | xargs -i {} grep -l regex {},find all _FILE file under _FILE directori that match both regex _REGEX and _REGEX in content
tree -a -f,tree -a -f,list all file and sub directori includ hidden file in current directori tree
find Path -type d -exec chmod Permission {} \;,find path -type d -exec chmod permission {} \;,find all directori under foldernam directori and set permiss to _NUMBER
find Path -type f -exec cp -t Directory {} +,find path -type f -exec cp -t directory {} +,copi all regular file from current directori tree to directori _REGEX
find Path -type f -perm Permission -print -exec chmod Permission {} \;,find path -type f -perm permission -print -exec chmod permission {} \;,find all regular file with permiss _NUMBER under and below _DIRECTORY and chang permiss to _NUMBER
"mv $( find Path $( find Path -name Regex -printf ""%h\n"" | uniq ) -type f ) File","mv $( find path $( find path -name regex -printf ""%h\n"" | uniq ) -type f ) file",find all _REGEX directori under current directori and move all regular file insid those directori to _DIRECTORY
w | awk Program,w | awk program,find all _FILE in user
find Path -name Regex -maxdepth Quantity -print0 | xargs -0 -I {} mv {} File,find path -name regex -maxdepth quantity -print0 | xargs -0 -i {} mv {} file,find file in current directori that match pattern _FILE and move them to folder _FILE
gunzip -c file.tar.gz | tar t > /dev/null,gunzip -c file.tar.gz | tar t > /dev/null,test if tar file in _FILE is corrupt
find Path -name Regex -exec ls {} \;,find path -name regex -exec ls {} \;,list all _FILE file and directori under current directori
diff --brief <( awk Program Program ) <( tac File | awk Program ),diff --brief <( awk program program ) <( tac file | awk program ),test if _REGEX column in file a is in revers order of second column of file b
find Path -type f ! -perm Permission | head,find path -type f ! -perm permission | head,find all file in current directori recurs whose permiss are not _NUMBER
find Path -name Regex,find path -name regex,find all file and directori name _FILE under current directori tree
ls -F -l -t -r,ls -f -l -t -r,print long list of current directori sort from oldest to newest with append indic
date -d Regex,date -d regex,format time string _REGEX accord to default time format and save it to variabl _REGEX
cd $( find Path -name Regex | xargs -I {} dirname {} ),cd $( find path -name regex | xargs -i {} dirname {} ),find all _REGEX file and directori under current directori and enter into parent directori of first one found
find . -type f -exec cat {} ; > out.txt,find . -type f -exec cat {} ; > out.txt,display content of all regular file in current folder and save output to _FILE
finger Regex,finger regex,lookup inform for user _REGEX
find Path Path -name Regex -or -name Regex,find path path -name regex -or -name regex,print onli line _DIRECTORY given _NUMBER empti directori foo and bar
find Path -type f -mtime -Timespan -print0 | xargs -0 -I {} ls -l -t {} | head,find path -type f -mtime -timespan -print0 | xargs -0 -i {} ls -l -t {} | head,find all file under _FILE that were modifi less than _TIMESPAN ago and show onli first sever line of output
find . -type f ( -iname .cpp -o -iname .hpp -o -iname .c -o -iname .h -o -iname .cc -o -iname .hh ) -print | xargs etags -a,find . -type f ( -iname .cpp -o -iname .hpp -o -iname .c -o -iname .h -o -iname .cc -o -iname .hh ) -print | xargs etags -a,find _FILE _REGEX sourc and header file in current folder and creat etag for them
diff --new-line-format= --unchanged-line-format= file1 file2,diff --new-line-format= --unchanged-line-format= file1 file2,output all line from _REGEX except those present in _REGEX assum both file are sort
cat File | grep Regex | split -l Quantity,cat file | grep regex | split -l quantity,search _REGEX for line start with _REGEX and group result in file with at most _NUMBER line each
find Path -name Regex -print | xargs -I {} grep -l Regex {},find path -name regex -print | xargs -i {} grep -l regex {},find _FILE file under _REGEX and search for string _REGEX in those file
md5sum File | awk Program | sort | uniq -d,md5sum file | awk program | sort | uniq -d,calcul a list of duplic _REGEX sum hash for all _FILE file in current directori
find Path -L -samefile Regex,find path -l -samefile regex,find all link to _FILE
find Path -perm -Permission -print,find path -perm -permission -print,find all file that are readabl and writabl by owner
find Path -type f -iname Regex -exec ls -l -r -t {} \; | awk -F Regex Program,find path -type f -iname regex -exec ls -l -r -t {} \; | awk -f regex program,find onli number of hard link _REGEX name of file from long list
cat File | sed Program | column -t,cat file | sed program | column -t,replac all instanc of _REGEX with _REGEX in file _FILE and re-align
find Path -maxdepth Quantity -iname Regex,find path -maxdepth quantity -iname regex,find all file and directori that contain _REGEX in name under current directori no-recurs
find Path -type f -iname Regex,find path -type f -iname regex,find everi vim undo file in current directori tree
"top -p `pgrep process-name | tr \n , | sed s/,$//`","top -p `pgrep process-name | tr \n , | sed s/,$//`",monitor all process whose command includ _REGEX
find Path -perm Permission,find path -perm permission,search for file and directori which are writabl by either owner or group
find ./ -type f -ctime -7 -exec ls {} ; > new.files,find ./ -type f -ctime -7 -exec ls {} ; > new.files,display a long list of all regular file in current directori which been chang in _TIMESPAN and save output to _FILE
find $PWD -name file.ext -exec sh -c echo $(dirname {}) ;,find $pwd -name file.ext -exec sh -c echo $(dirname {}) ;,find all file name _FILE in current directori tree and print path name of directori are in
find Path -mmin Quantity,find path -mmin quantity,find all file and directori under _FILE directori tree that been modifi exact _TIMESPAN ago
mkdir -p Directory,mkdir -p directory,creat intermedi directori as requir and directori _FILE
true,true,set exit code to _NUMBER
find Path -fstype ext3 -name Regex,find path -fstype ext3 -name regex,find all file whose name not begin with _REGEX on _REGEX file system
pwd | tr -d \n | pbcopy,pwd | tr -d \n | pbcopy,copi current work directori to clipboard
"mount -o remount,rw Regex","mount -o remount,rw regex",remount _FILE with read and write permiss
find Path -name Regex -print0 | xargs -I {} -0 cp -v {} File,find path -name regex -print0 | xargs -i {} -0 cp -v {} file,find and copi all _FILE file in current directori tree to _FILE
cat File | sort -r -h,cat file | sort -r -h,revers sort content of _FILE file compar human readabl number in file string
find Path -print0 | xargs -0 -I {} chown Regex {},find path -print0 | xargs -0 -i {} chown regex {},chang user and group of all file and directori under _FILE to _REGEX
du -s -b File | cut -f Number,du -s -b file | cut -f number,display file size of file _FILE in byte
mount | grep Regex | awk Program,mount | grep regex | awk program,display mount point of a devic file _REGEX
find Path | xargs -I {} echo {},find path | xargs -i {} echo {},display all file in current folder
ls -ltr | grep Mar 4 | awk {print 9} | xargs zcat -fq | grep 12345,ls -ltr | grep mar 4 | awk {print 9} | xargs zcat -fq | grep 12345,find all file modifi on _DATETIME and unzip and search content for _NUMBER
find Path ! -empty -type d,find path ! -empty -type d,display all non empti directori in current folder
echo Regex | tee -a File,echo regex | tee -a file,write _REGEX to standard output and append to _FILE as root
find Path -maxdepth Quantity -print0,find path -maxdepth quantity -print0,display all file in current directori and not search in sub directori
find Path \( -name Regex -or -name Regex \) -prune -or -name Regex -type f -print,find path \( -name regex -or -name regex \) -prune -or -name regex -type f -print,search current directori tree recurs for regular file name _REGEX ignor _REGEX and _REGEX directori
find Path -maxdepth Quantity -type d -print | xargs -I {} echo Regex {},find path -maxdepth quantity -type d -print | xargs -i {} echo regex {},show subdirectori of current directori
find . -printf %P\0 | sort -z | while IFS= read -d  -r f; do echo $(uuid) $f; done,find . -printf %p\0 | sort -z | while ifs= read -d  -r f; do echo $(uuid) $f; done,generat uuid for file from current directori tree
"find Path -type f -printf ""%s %p\n"" | sort -n -r | head -n Quantity | awk Program","find path -type f -printf ""%s %p\n"" | sort -n -r | head -n quantity | awk program",find all file under current directori with size and path revers sort them numer print _REGEX field of first _NUMBER entri
find Path -name Regex | xargs -I {} grep Regex {},find path -name regex | xargs -i {} grep regex {},find recurs all python file in current directori and search them for word _REGEX
time -f%e sleep 1,time -f%e sleep 1,print elaps time of command execut
find Path -type f -perm Permission | xargs -I {} file {} | grep Regex | cut -d Regex -f Number,find path -type f -perm permission | xargs -i {} file {} | grep regex | cut -d regex -f number,print name of all of strip binari in _FILE directori tree builtin test avoid run file on file that are not regular file or are not execut
find Path -perm Permission -type f -exec ls -l {} \;,find path -perm permission -type f -exec ls -l {} \;,display a long list of all regular file with _NUMBER permiss under current directori tree
source $( which Regex ),source $( which regex ),sourc execut _FILE found in _REGEX
find Path -daystart -mtime -Timespan,find path -daystart -mtime -timespan,find all file and directori which been modifi from start of day in _FILE taken from glob pattern _FILE
find Path -type f -exec rm -f -v {} \;,find path -type f -exec rm -f -v {} \;,forc delet all regular file in current folder
find Path -name Regex,find path -name regex,find all file and directori name _REGEX under home directori
ls File,ls file,print full path of a _FILE file in a current folder
find /home/hobbes/ /home/calvin/ -name “*.txt” 2>/dev/null,find /home/hobbes/ /home/calvin/ -name “*.txt” 2>/dev/null,search for text file in folder _DIRECTORY _FILE and discard all error
find Path -name Regex,find path -name regex,display all text file in current folder
find Path -type d -exec basename {} \;,find path -type d -exec basename {} \;,recurs search through directori _REGEX in home directori display name of all directori without full path ie onli name part follow last slash of each directori
readlink -f $( which Regex ),readlink -f $( which regex ),follow symbol link for full path of _REGEX
ln -s $( echo Regex ) Regex,ln -s $( echo regex ) regex,creat symbol link in current directori to all file locat in directori _FILE and filenam extens _FILE
echo Regex | tee -a File,echo regex | tee -a file,print _FILE and append to file _FILE
find Path -type f -exec chmod Permission {} \;,find path -type f -exec chmod permission {} \;,chang permiss of all regular file in folder _REGEX to _NUMBER
find Path -name Regex -print0 | xargs -0 -I {} sed -i Program {},find path -name regex -print0 | xargs -0 -i {} sed -i program {},add _REGEX on top of each _FILE file under current directori
cd $( basename Regex Regex ),cd $( basename regex regex ),chang directori to basenam of _REGEX with _FILE remov
ifconfig -a | awk Program | grep -o -E Regex,ifconfig -a | awk program | grep -o -e regex,get mac address of all _REGEX network interfac
find $1 -name ?* | dd bs=$((${#1}+3)) count=1 2>/dev/null,find $1 -name ?* | dd bs=$((${#1}+3)) count=1 2>/dev/null,print _REGEX if _REGEX is an empti directori
set -u,set -u,rais an error for use uniniti variabl
chown -R Regex File File File File File,chown -r regex file file file file file,recurs chang owner to _REGEX of _REGEX _REGEX _FILE _REGEX and _REGEX
find Path -group Regex -exec chgrp -h Regex {} \;,find path -group regex -exec chgrp -h regex {} \;,chang group ownership to _REGEX for file with _PERMISSION
find Path -mmin +Quantity,find path -mmin +quantity,find all file and directori in _FILE directori tree which not been modifi in _TIMESPAN
find Path -maxdepth Quantity -type d -name Regex,find path -maxdepth quantity -type d -name regex,search _FILE for subdirectori whose name end with a number _REGEX
find Path $( pwd ) -type f,find path $( pwd ) -type f,list all file under current work directori tree
find Path -user Regex -type f,find path -user regex -type f,find all regular file in current folder which belong to user _REGEX
find -type f -print0 | xargs -0 grep -l `printf ^\xef\xbb\xbf` | sed s/^/found BOM in: /,find -type f -print0 | xargs -0 grep -l `printf ^\xef\xbb\xbf` | sed s/^/found bom in: /,find _REGEX file with bom
find Path -user Regex -type f -exec chown Regex {} \;,find path -user regex -type f -exec chown regex {} \;,search entir file hierarchi for all regular file own by older and chang ownership to newus
find Path -daystart -ctime Timespan -type f,find path -daystart -ctime timespan -type f,find all file that were modifi _TIMESPAN ago
crontab -e -u Regex,crontab -e -u regex,as root edit cron job list of user _REGEX use editor specifi by editor environ variabl or default _FILE if variabl is not set
find Path -iregex Regex -type f -cmin +Quantity -exec basename {} \;,find path -iregex regex -type f -cmin +quantity -exec basename {} \;,find all data file in current folder which not been chang in _TIMESPAN and display name without extens
find Path -name Regex -mmin -Quantity -print | head -n Quantity,find path -name regex -mmin -quantity -print | head -n quantity,find all file and directori with _FILE extens whose name start with _REGEX been modifi in _TIMESPAN and show first one found
find Path ! -path Regex -and ! -name Regex,find path ! -path regex -and ! -name regex,display all file in current folder exclud file _FILE and those that are present in directori whose name start with _FILE
find Path -name Regex -exec gzip -d {} \;,find path -name regex -exec gzip -d {} \;,find and uncompress all file in current directori tree end in _FILE
du --max-depth Quantity File,du --max-depth quantity file,find disk use space of onli target directori
ifconfig Regex | awk Program | grep -E -o Regex,ifconfig regex | awk program | grep -e -o regex,get ip address of _REGEX network interfac
find . -iname *.jar | xargs zipinfo,find . -iname *.jar | xargs zipinfo,list detail inform about all _FILE file in current directori tree
find Path | xargs -I {} grep Regex {},find path | xargs -i {} grep regex {},find file match regular express regexp
find Path -name Regex -prune -or -name Regex -print,find path -name regex -prune -or -name regex -print,display all text file in current folder and not search in _FILE directori
find Path -user Regex,find path -user regex,find all file own by user vivek
find Path -type f -exec grep -q -i -F Regex File \; -delete,find path -type f -exec grep -q -i -f regex file \; -delete,delet all file under _DIRECTORY that match case insensit string liter _FILE in content
ls -l -- File,ls -l -- file,print long list of _FILE file
find Path -name Regex -exec mv {} File File \;,find path -name regex -exec mv {} file file \;,move all _FILE file and correspond _FILE file under _REGEX to _REGEX
find Path -type f -exec echo {} \;,find path -type f -exec echo {} \;,list all regular file in entir file system
find Path,find path,print list of file in directori _FILE recurs
find Path -path Regex -prune -or -perm -Permission ! -type l -ls,find path -path regex -prune -or -perm -permission ! -type l -ls,locat world-writ file and directori on system
history -c,history -c,clear in-memori histori
find Path -group Regex -print | xargs -I {} chown Regex {},find path -group regex -print | xargs -i {} chown regex {},find all file own by group _REGEX in current directori tree and chang user to _REGEX
find Path -name Regex,find path -name regex,find all _FILE file
$( whoami ),$( whoami ),set bash prompt to _REGEX
grep Regex File | source File,grep regex file | source file,interpret all line contain an equal sign in myfil
nice -10 `alias list | sed s/^\(alias \)\?[^=]\+='//; s/'$//;`,nice -10 `alias list | sed s/^\(alias \)\?[^=]\+='//; s/'$//;`,print command for alia _REGEX with low prioriti command
find Path -type f -mtime +Timespan,find path -type f -mtime +timespan,find all regular file that resid in current directori tree and were last modifi at least _TIMESPAN ago
cat File | tar -x,cat file | tar -x,extract file from archiv _FILE
mkdir Directory,mkdir directory,make directori _REGEX
rsync -c -h -a -v -z -P --stats File File,rsync -c -h -a -v -z -p --stats file file,archiv _FILE to _FILE on host _FILE as user _REGEX updat file with differ checksum show human readabl progress and statist and compress data dure transmiss
cat File | tr -d -c Regex | fold -w Quantity | head - Quantity,cat file | tr -d -c regex | fold -w quantity | head - quantity,print a line of _NUMBER random charact either _REGEX or _REGEX
find Path -name Regex -exec rm -r -f {} \;,find path -name regex -exec rm -r -f {} \;,recurs remov all file like _FILE in a current folder
find Path -name Regex | sort -t Regex -n -k Number,find path -name regex | sort -t regex -n -k number,find all _FILE file in _FILE path and numer sort them accord to second field in file name with a delimit _REGEX
find . | grep FooBar | (mapfile -t; cp ${MAPFILE[@]} ~/foobar),find . | grep foobar | (mapfile -t; cp ${mapfile[@]} ~/foobar),find all file and directori under current directori with _REGEX in path and copi them to _FILE
screen -S demo -p 1 -X screen /home/aa/scripts/outputs.sh,screen -s demo -p 1 -x screen /home/aa/scripts/outputs.sh,creat a new window in an exist screen session and run a script
finger -l | grep Regex | cut -d Regex -f Number | cut -c Number | sort | uniq,finger -l | grep regex | cut -d regex -f number | cut -c number | sort | uniq,print each _FILE in user 's full name
ln -f File Regex,ln -f file regex,forc creat a hard link name _FILE to _FILE
ping -c Quantity -b Regex | sed -n Program | sort | uniq,ping -c quantity -b regex | sed -n program | sort | uniq,send _NUMBER ping to broadcast address _FILE and print uniqu ip who respond
who File Regex --ips | awk Program,who file regex --ips | awk program,get ip address of ssh session
ssh -f user@host echo foo; sleep 5; echo bar,ssh -f user@host echo foo; sleep 5; echo bar,request ssh to run _REGEX in background
find Path -atime Timespan -print,find path -atime timespan -print,search in current directori downward all file which were access exact _TIMESPAN back
"find Path -type f -printf '""%p""\n' | xargs -I {} grep Regex {}","find path -type f -printf '""%p""\n' | xargs -i {} grep regex {}",search current directori tree for regular file that contain _REGEX
chown -R $( whoami ) File,chown -r $( whoami ) file,recurs chang ownership of _FILE to current user
find Path -mmin +Quantity -print,find path -mmin +quantity -print,find all file in current folder that are not modifi in _TIMESPAN
"find Path -type f -name Regex -printf ""cp '%p' '/tmp/test_%f'\n"" | bash","find path -type f -name regex -printf ""cp '%p' '/tmp/test_%f'\n"" | bash",find recurs all file in _FILE that end in _FILE and copi them to _DIRECTORY
find Path -name Regex,find path -name regex,list file end in _FILE and resid in current directori tree
ln -s File Regex,ln -s file regex,creat a symbol link in _DIRECTORY to _FILE
"find . -maxdepth 2 -mindepth 2 -name *.jpg -exec sh -c echo mv -- ""$0"" ""${0%%.jpg}.jpeg"" {} ;","find . -maxdepth 2 -mindepth 2 -name *.jpg -exec sh -c echo mv -- ""$0"" ""${0%%.jpg}.jpeg"" {} ;",renam _FILE file to _FILE in all subdirectori of current directori
find Path -regex Regex,find path -regex regex,search current directori tree for file whose name begin with _REGEX and end with _REGEX follow by ani charact
find Path -type f -print0,find path -type f -print0,find all file under current directori and print them append a null charact at end of each file path
cat File | fold -w Quantity,cat file | fold -w quantity,print _REGEX content format output as _REGEX wide column
cat File | head -n Quantity,cat file | head -n quantity,print info about thread number of process with pid _NUMBER
find /home/*/public_html/ -type f ( -iwholename */libraries/joomla/version.php -o -iwholename */libraries/cms/version.php -o -iwholename */libraries/cms/version/version.php ) -print0 -exec perl -e while (<>) { $release = $1 if m/ \$RELEASE\s+= .([\d.]+).;/; $dev = $1 if m/ \$DEV_LEVEL\s+= .(\d+).;/; } print qq( = $release.$dev\n); {} ;,find /home/*/public_html/ -type f ( -iwholename */libraries/joomla/version.php -o -iwholename */libraries/cms/version.php -o -iwholename */libraries/cms/version/version.php ) -print0 -exec perl -e while (<>) { $release = $1 if m/ \$release\s+= .([\d.]+).;/; $dev = $1 if m/ \$dev_level\s+= .(\d+).;/; } print qq( = $release.$dev\n); {} ;,display latest version of joomla in various folder
find Path -type f -print | xargs -I {} grep -i Regex {},find path -type f -print | xargs -i {} grep -i regex {},find all regular file resid in current directori tree and search them for string _FILE
pr -n find . -type f -mtime -1 -print|lpr,pr -n find . -type f -mtime -1 -print|lpr,provid a list of all file edit _DATETIME to pr and pipe pr 's output to printer
find Path -type f -name Regex -exec rm -f {} \;,find path -type f -name regex -exec rm -f {} \;,find a singl file call _FILE and remov it
find Path -type f | sed -e Program | sort | uniq,find path -type f | sed -e program | sort | uniq,find all regular file in current folder and replac everyth expect extens of file and display uniqu file extens
shopt -s lithist,shopt -s lithist,enabl shell option _REGEX
find Path -print0 | xargs -0 -I {} tar -c -j -f File {},find path -print0 | xargs -0 -i {} tar -c -j -f file {},archiv entir file system into _FILE
cut -d Regex -f Number File | paste -d Regex -s,cut -d regex -f number file | paste -d regex -s,print _REGEX space separ field in _REGEX as a comma separ list
find Path -type d -exec chmod Permission {} \;,find path -type d -exec chmod permission {} \;,find all directori under and below _DIRECTORY and chang permiss to _NUMBER
find Path -type f -empty -delete,find path -type f -empty -delete,delet all empti file in current directori tree
echo -e -n Regex | column -t | sed Program,echo -e -n regex | column -t | sed program,creat a tabl from _REGEX with column separ by a singl space
grep -o Regex File | tr Regex Regex | sort | uniq -c | sort -n -r,grep -o regex file | tr regex regex | sort | uniq -c | sort -n -r,list each uniqu case insensit charact in _REGEX prefix by number of occurr and sort from most frequent to least frequent
sleep Timespan,sleep timespan,sleep for _TIMESPAN
find Path -type f -name Regex -print | xargs -I {} rm {},find path -type f -name regex -print | xargs -i {} rm {},delet all text file in entir file system
find Path -print0 | grep -a -z -Z Regex | xargs -0 -I {} file {},find path -print0 | grep -a -z -z regex | xargs -0 -i {} file {},execut file util for each file found under _FILE or below that contain _REGEX in it pathnam
rsync -a -v -e File File,rsync -a -v -e file file,download _REGEX use rsync over ssh
cat $( uname -r ),cat $( uname -r ),display current run kernel 's compile-tim config file
find Path -type d -print0 | xargs -0 -I {} chmod Permission {},find path -type d -print0 | xargs -0 -i {} chmod permission {},chang permiss to _NUMBER for all subdirectori
find Path -name Regex -execdir touch File \;,find path -name regex -execdir touch file \;,creat an empti file _REGEX in each directori under current directori contain a file name _REGEX
pwd | tr Regex Regex,pwd | tr regex regex,print work directori separ by newlin instead of forward slash
who -m,who -m,determin user associ with stdin
column -t -s Regex File,column -t -s regex file,format file _FILE as new-lin separ column
find Path -regextype posix-egrep -type d -regex Regex,find path -regextype posix-egrep -type d -regex regex,search for directori in folder _REGEX which end with _NUMBER digit use regular express
du -c -s -x -b File | md5sum -c File,du -c -s -x -b file | md5sum -c file,calcul _REGEX sum of output of _FILE and compar it against _REGEX sum save in _REGEX
find Path -maxdepth Quantity -name Regex -size -Size | xargs -I {} rm -f {},find path -maxdepth quantity -name regex -size -size | xargs -i {} rm -f {},forc delet all _FILE file in current directori which are less than _SIZE and not search in sub directori
ifconfig Regex | grep Regex | cut -d Regex -f Number,ifconfig regex | grep regex | cut -d regex -f number,get mac address of _REGEX network interfac
find Path \( -type d ! -name Regex -prune \) -or \( -mtime -Timespan -print \),find path \( -type d ! -name regex -prune \) -or \( -mtime -timespan -print \),display all file in current folder which been modifi in _TIMESPAN exclud all directori
sed -i Program File,sed -i program file,modifi and rewrit _REGEX replac first instanc of _REGEX on each line with _REGEX
find Path -type f -printf '%TY-%Tm-%Td %TT   %p\n' | sort,find path -type f -printf '%ty-%tm-%td %tt   %p\n' | sort,find most recent chang file in a subtre
comm -2 -3 <( sort File ) <( sort File ) | grep -f File Regex,comm -2 -3 <( sort file ) <( sort file ) | grep -f file regex,print uniqu line in _REGEX compar to _REGEX in order appear
"find . -type f -exec sh -c printf ""%s %s \n"" ""$(ls -l $1)"" ""$(md5sum $1)""  {} {} ;","find . -type f -exec sh -c printf ""%s %s \n"" ""$(ls -l $1)"" ""$(md5sum $1)""  {} {} ;",display a long list of all regular file in current folder along with _REGEX
uname -s,uname -s,set variabl _FILE to name of oper system ie _REGEX
join -v Quantity <( sort File ) <( sort File ),join -v quantity <( sort file ) <( sort file ),print each line in _REGEX whose first word not exist as first word of ani line in _REGEX
find Path -type f -name Regex -exec ls -l {} \;,find path -type f -name regex -exec ls -l {} \;,display long list of all regular hidden file in folder music
find Path ! -name Regex,find path ! -name regex,display all file in current folder exclud current folder
readlink -f $( which Regex ),readlink -f $( which regex ),resolv all symlink in path to _REGEX binari if it exist in path result in absolut path with no symlink
chown -R Regex File,chown -r regex file,recurs chang owner to _REGEX and group to _REGEX of _FILE
seq 10|jq -s add,seq 10|jq -s add,calcul sum of all number from _NUMBER to _NUMBER
su $USER -c $WEB --quiet &,su $user -c $web --quiet &,run command _REGEX in background as user name as valu of variabl _REGEX
find Path -name Regex,find path -name regex,find all _REGEX file under and below _FILE
find Path -name Regex -print -exec cat {} +,find path -name regex -print -exec cat {} +,find all file name _REGEX under current directori tree and display content
find Path -name Regex -print | xargs -I {} grep Regex {},find path -name regex -print | xargs -i {} grep regex {},search all _FILE file from current directori tree for _REGEX
find Path -daystart -mtime -Timespan -type f ! -mtime -Timespan -printf '%TY %p\n',find path -daystart -mtime -timespan -type f ! -mtime -timespan -printf '%ty %p\n',find all regular file in current directori tree last modifi between _NUMBER and _TIMESPAN ago and list them use format _REGEX
df -k File | tail - Quantity | awk Program,df -k file | tail - quantity | awk program,report avail space on file system contain _FILE in kilobyt
mktemp Regex,mktemp regex,creat temporari file replac xxxxxxxxxxxxxxxxxxxxxxx with equal length suffix
readlink -e File,readlink -e file,resolv symbol link of file _FILE
find ./js/ -type f -name *.js -exec java -jar compiler.jar --compilation_level SIMPLE_OPTIMIZATIONS --js {} --js_output_file {}.compiled ;,find ./js/ -type f -name *.js -exec java -jar compiler.jar --compilation_level simple_optimizations --js {} --js_output_file {}.compiled ;,find all _FILE script file in a folder and give them as input to a _FILE
rsync -a -v --rsync-path Program File File,rsync -a -v --rsync-path program file file,archiv _FILE to _FILE on host _REGEX with elev permiss on remot host
find Path -print0 | xargs -0 -I {} echo {},find path -print0 | xargs -0 -i {} echo {},get a list of file and directori in current directori tree
chgrp,chgrp,chang group of defin file
split File,split file,split _FILE into file of at most _NUMBER line each
ls -Art *.sql.gz |tail -n 1 |xargs gunzip -c | mysql --user=user --password=password database,ls -art *.sql.gz |tail -n 1 |xargs gunzip -c | mysql --user=user --password=password database,import uncompress content of last modifi file match _FILE into _REGEX
grep -i -o -h Regex File | sort | uniq -c | sort -n,grep -i -o -h regex file | sort | uniq -c | sort -n,search case insensit for _REGEX _REGEX _REGEX _REGEX in file _FILE extract match part sort them and print them by sort them in send order of number of repeat line
ps -e -f,ps -e -f,list all process with detail inform
rpm -qfi `which ldconfig`,rpm -qfi `which ldconfig`,print packag inform command _REGEX belong to in _FILE
echo Regex | grep -v -E Regex,echo regex | grep -v -e regex,filter out string use extend regexp pattern _REGEX from _REGEX
find Path -name Regex -print0 | sed Program | xargs -0 -I {} mv File File,find path -name regex -print0 | sed program | xargs -0 -i {} mv file file,renam all _REGEX file to _FILE file in current folder
"join -t Regex -o 1.1,1.2,2.3 File File","join -t regex -o 1.1,1.2,2.3 file file",merg line whose first comma-separ field in file _REGEX also appear as a first comma-separ in file _REGEX both file be sort and output format of each line will be first field of _REGEX second field of _REGEX and third field of _REGEX
find Path -type d -print0 | xargs -0 -I {} chmod Permission {},find path -type d -print0 | xargs -0 -i {} chmod permission {},find all directori under current directori and chang permiss to _NUMBER
find Path -name Regex -type f -print0 | xargs -0 -I {} cp -u -t File {},find path -name regex -type f -print0 | xargs -0 -i {} cp -u -t file {},find all _FILE file in current directori and copi them to directori _FILE
"tac filename | perl -lane print join("" "", reverse(@F))","tac filename | perl -lane print join("" "", reverse(@f))",revers both word and line in file
find Path -type f -name Regex -atime -Timespan -user Regex,find path -type f -name regex -atime -timespan -user regex,display all home folder which end with extens _REGEX and which been access in _TIMESPAN and which belong to user bruno
find Path -depth -name Regex -type f -delete,find path -depth -name regex -type f -delete,find file name _REGEX in or below directori _FILE and delet them
find Path -type f -exec grep -q -i -F Regex File \; -print,find path -type f -exec grep -q -i -f regex file \; -print,find all file under _DIRECTORY that match case insensit string liter _FILE in content
alias ls=ls -lrta,alias ls=ls -lrta,set alia _REGEX for command _REGEX
